	vitalF1_MM	vitalR1_MM	vitalF1_Melt	vitalR1_Melt	organism	definition	function
AAAB01008898	3	1	51.59435805219755	49.640030514765556	Anopheles gambiae str. PEST,definition=AGAP004396.PA	AGAP004396.PA	unknown
AABF01000037	1	2	42.79692028502416	42.61524588430865	Fusobacterium nucleatum subsp. vincentii ATCC 49256,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
AAHO01000057	3	1	53.31418020083902	56.88827587688104	Burkholderia mallei GB8 horse 4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAOA02000001	1	1	46.33066322972775	50.0691387743646	Congregibacter litoralis KT71,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AAPH01000009	2	1	43.01942061704227	47.255138773692295	Photobacterium profundum 3TCK,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AAPR01000014	2	0	44.90010769576111	45.4317337140277	Psychroflexus torquis ATCC 700755,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AAPR01000027	2	1	45.64979276665258	42.56205384698069	Psychroflexus torquis ATCC 700755,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AASE01000023	1	0	48.67156119429603	48.315981391332855	Chlorobium ferrooxidans DSM 13031,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AAWS01000051	3	0	50.87035550988014	45.4317337140277	Microscilla marina ATCC 23134,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AAXG02000004	0	1	58.11846786667206	53.567785893963105	Pseudoflavonifractor capillosus ATCC 29799,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AAXU02000001	2	0	48.63785976728701	46.87179262335593	Algoriphagus sp. PR1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAXX01000002	4	0	42.27835644202622	46.5612293724804	Flavobacteria bacterium BAL38,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAYW02000014	2	0	43.00154884037158	48.040022837782715	Clostridium sp. L2.50,definition=hypothetical protein	hypothetical protein	unknown
ABAX03000001	0	2	52.92338988544168	50.06417179011413	Anaerostipes caccae DSM 14662,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCM01000012	0	0	58.22965000706881	50.39602252829144	Pedobacter sp. BAL39,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCQ01000002	4	1	39.87207717811657	51.2481897652703	Moritella sp. PE36,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ABDE02000002	1	0	57.10116467178068	51.5082790883319	Victivallis vadensis ATCC BAA.548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ABED02000029	0	0	58.11846786667206	53.56778589396305	Faecalibacterium prausnitzii M21.2,definition=hypothetical protein	hypothetical protein	unknown
ABEH02000003	3	1	57.37890699395723	45.8241404412168	Salmonella enterica subsp. enterica serovar Javiana str. GA.MM04042433,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABFK02000016	1	1	52.043612663788565	50.13434909135782	Alistipes putredinis DSM 17216,definition=hypothetical protein	hypothetical protein	unknown
ABHH01000001	4	5	45.011719111424895	45.226551419240934	Carnobacterium sp. AT7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABHI01000001	3	0	41.194375035932126	48.02918038901146	Flavobacteriales bacterium ALC.1,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
ABIL02000004	0	1	50.03309735770898	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000004.33	0	1	50.53054231515989	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000006	2	2	43.53094618767784	43.288719431159905	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABXA01000049	3	4	42.62855762341064	44.45507553425648	Anaerococcus hydrogenalis DSM 7454,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABXP02000035	1	5	46.53241308239171	48.47369358273187	Caldanaerobacter subterraneus subsp. pacificus DSM 12653,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
ABYO01000189	2	4	41.94079427784965	54.922331319088926	Anaerococcus lactolyticus ATCC 51172,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABZV01000003	4	2	39.71388200401515	39.02137441284964	Capnocytophaga sputigena ATCC 33612,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACDB02000006	4	2	39.95582351884809	47.329821569972694	Fusobacterium mortiferum ATCC 9817,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACDC03000011	4	2	39.95582351884809	42.61524588430865	Fusobacterium periodonticum 2.1.31,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000013	1	2	42.79692028502416	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000019	2	2	45.608104408840234	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
