	vitalF2_MM	vitalR2_MM	vitalF2_Melt	vitalR2_Melt	organism	definition	function
AAAB01008898	5	1	50.792315432399846	49.640030514765556	Anopheles gambiae str. PEST,definition=AGAP004396.PA	AGAP004396.PA	unknown
AABF01000037	2	2	43.82294300452941	42.61524588430865	Fusobacterium nucleatum subsp. vincentii ATCC 49256,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
AAHO01000057	4	1	58.85486148696572	56.88827587688104	Burkholderia mallei GB8 horse 4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAOA02000001	3	1	48.95218447560774	50.0691387743646	Congregibacter litoralis KT71,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AAPH01000009	5	1	41.23661471269662	47.255138773692295	Photobacterium profundum 3TCK,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AAPR01000014	2	0	46.60515651585399	45.4317337140277	Psychroflexus torquis ATCC 700755,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AAPR01000027	3	1	47.0209872807186	42.56205384698069	Psychroflexus torquis ATCC 700755,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AASE01000023	3	0	47.56968768221708	48.315981391332855	Chlorobium ferrooxidans DSM 13031,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
AAWS01000051	2	0	51.924957087673874	45.4317337140277	Microscilla marina ATCC 23134,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AAXG02000004	2	1	59.23775529788054	53.567785893963105	Pseudoflavonifractor capillosus ATCC 29799,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AAXU02000001	3	0	46.871527246315964	46.87179262335593	Algoriphagus sp. PR1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAXX01000002	3	0	40.48501947379117	46.5612293724804	Flavobacteria bacterium BAL38,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AAYW02000014	1	0	43.13571606658445	48.040022837782715	Clostridium sp. L2.50,definition=hypothetical protein	hypothetical protein	unknown
ABAX03000001	3	2	54.23159624474869	50.06417179011413	Anaerostipes caccae DSM 14662,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCM01000012	3	0	54.38410390403561	50.39602252829144	Pedobacter sp. BAL39,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABCQ01000002	5	1	39.52047246528031	51.2481897652703	Moritella sp. PE36,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ABDE02000002	5	0	52.36664311961408	51.5082790883319	Victivallis vadensis ATCC BAA.548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ABED02000029	2	0	55.48831306497391	53.56778589396305	Faecalibacterium prausnitzii M21.2,definition=hypothetical protein	hypothetical protein	unknown
ABEH02000003	6	1	54.97331087318605	45.8241404412168	Salmonella enterica subsp. enterica serovar Javiana str. GA.MM04042433,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABFK02000016	2	1	48.95932057125816	50.13434909135782	Alistipes putredinis DSM 17216,definition=hypothetical protein	hypothetical protein	unknown
ABHH01000001	4	5	47.921478636939014	45.226551419240934	Carnobacterium sp. AT7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ABHI01000001	2	0	39.78736445986101	48.02918038901146	Flavobacteriales bacterium ALC.1,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
ABIL02000004	0	1	49.39344133331133	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000004.33	1	1	47.56968768221708	51.49258153451183	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABIL02000006	3	2	42.4461076336957	43.288719431159905	Anaerofustis stercorihominis DSM 17244,definition=hypothetical protein	hypothetical protein	unknown
ABXA01000049	4	4	46.06950714329736	44.45507553425648	Anaerococcus hydrogenalis DSM 7454,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABXP02000035	2	5	43.16056727510977	48.47369358273187	Caldanaerobacter subterraneus subsp. pacificus DSM 12653,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
ABYO01000189	4	4	42.589113194645336	54.922331319088926	Anaerococcus lactolyticus ATCC 51172,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ABZV01000003	4	2	36.25673150486489	39.02137441284964	Capnocytophaga sputigena ATCC 33612,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACDB02000006	1	2	46.399083822265254	47.329821569972694	Fusobacterium mortiferum ATCC 9817,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACDC03000011	1	2	43.71109081977659	42.61524588430865	Fusobacterium periodonticum 2.1.31,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000013	2	2	43.82294300452941	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDE02000019	3	2	46.9103185746651	42.61524588430865	Fusobacterium nucleatum subsp. vincentii 4.1.13,definition=hypothetical protein	hypothetical protein	unknown
ACDH02000029	2	1	43.636367451714705	49.29280172542792	Fusobacterium ulcerans ATCC 49185,definition=hypothetical protein	hypothetical protein	unknown
ACDS02000074	3	2	44.55398480433837	42.61524588430865	Fusobacterium nucleatum subsp. animalis D11,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
ACEP01000025	3	1	48.95218447560774	45.95877591595371	Eubacterium hallii DSM 3353,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACET02000023	2	2	44.507800762653915	41.15933897445876	Fusobacterium gonidiaformans ATCC 25563,definition=hypothetical protein	hypothetical protein	unknown
ACFX02000016	5	0	56.54642031691333	54.69679185293302	Clostridium sp. M62.1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
ACFX02000051	2	0	48.919175743848655	56.751557499375735	Clostridium sp. M62.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACGC01000120	4	3	43.26027918646247	44.53439800062682	Anaerococcus tetradius ATCC 35098,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ACIE02000004	1	2	39.66740716029136	43.24056541997663	Fusobacterium varium ATCC 27725,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
ACJM01000020	2	1	48.202023907707826	56.45832334381112	Dethiobacter alkaliphilus AHT 1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
